Sigla Empresa,Nombre,Fecha,A¤o,N£mero de Mes,Origen,Nombre.1,Ciudad Origen,Pais Origen,Destino,Nombre.2,Ciudad Destino,Pais Destino,Tr fico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg),Tr fico (N/I) 2,Tipo Vuelo 2,Tipo Vuelo (Regular - No Regular),Mes
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,ROC,MONREO CONUTRY,ROCHETER,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,RTB,ROATAN,ROATAN,HONDURAS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SAN,LINDBERGH FIELD,SAN DIEGO,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,66,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SAN,LINDBERGH FIELD,SAN DIEGO,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,42,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SAP,LA MESA,SAN PEDRO SULA,HONDURAS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SAT,"SAN ANTONIO / INTL, TX.",SAN ANTONIO,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,23,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SAT,"SAN ANTONIO / INTL, TX.",SAN ANTONIO,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,55,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SAV,HILTON HEAD INTERNATIONAL,GEORGIA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,22,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SAV,HILTON HEAD INTERNATIONAL,GEORGIA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,17,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SCL,ARTURO MERINO BENITEZ INTL,SANTIAGO,CHILE,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,2,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SDF,LOUIS VILLE / STANDIFORD,KENTUCKY,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,5,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SDF,LOUIS VILLE / STANDIFORD,KENTUCKY,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,25,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SDQ,LAS AMERICAS,SANTO DOMINGO,REPUBLICA DOMINICANA,CTG,CARTAGENA - RAFAEL NU¥EZ,CARTAGENA DE INDIAS,COLOMBIA,I,R,2,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SDQ,LAS AMERICAS,SANTO DOMINGO,REPUBLICA DOMINICANA,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,9,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SEA,SEATTLE,SEATTLE,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,126,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SEA,SEATTLE,SEATTLE,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,65,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SFO,"SAN FRANCISCO / INTL, CA.",SAN FRANCISCO,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,352,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SFO,"SAN FRANCISCO / INTL, CA.",SAN FRANCISCO,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,173,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SJC,AEROPUERTO INTERNACIONAL DE SAN JOS,CALIFORNIA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,5,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SJD,SAN JOSE DEL CABO / INTL,SAN JOSE DEL CABO,MEXICO,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SJO,JUAN SANTAMARIA INTL,SAN JOSE,COSTA RICA,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,20,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PUERTO RICO,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,I,R,29,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PUERTO RICO,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,39,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PUERTO RICO,CTG,CARTAGENA - RAFAEL NU¥EZ,CARTAGENA DE INDIAS,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PUERTO RICO,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,235,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SMF,SACRAMENTO,SACRAMENTO,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,33,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SNA,JOHN WAYNE,SANTA ANA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,18,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,STI,CIBAO INTERNATIONAL,SANTIAGO DE LOS CABALLEROS,REPUBLICA DOMINICANA,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,STL,ST. LOUIS,SAINT LOUIS,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,66,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,STL,ST. LOUIS,SAINT LOUIS,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,49,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SVD,E.T. JOSHUA,ARNOS VALE,S.T. VICENT,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SXM,PRINCESS JULIANA INTL,SAN MARTIN,ANTILLAS HOLANDESAS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,21,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SXM,PRINCESS JULIANA INTL,SAN MARTIN,ANTILLAS HOLANDESAS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,3,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,SYD,KINGSFORD SMITH,SYDNEY,AUSTRALIA,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,2,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TLH,REGIONAL,FLORIDA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,7,0,Internacional,Regular,Regular,marzo
